university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
SRH University,International Business Administration,BA,35793,,N/A,"Berlin, Germany + 5 more campuses",https://www.study.eu/university/srh-university/ba-international-business-administration-19834
SRH University,International Business and Engineering,MEng,28741,,N/A,"Heidelberg, Germany",https://www.study.eu/university/srh-university/meng-international-business-and-engineering
SRH University,International Business and Leadership - Healthcare Management,MA,24508,,N/A,"Dresden, Germany",https://www.study.eu/university/srh-university/ma-international-business-and-leadership-healthcare-manageme
Anglo-American University,International Business and Policy,MA,24453,,N/A,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ma-international-business-and-policy
Radboud University,International Business Communication,BA,48523,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ba-international-business-communication
Vilnius University,International Communication,Master,8101,1.5,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-international-communication
University of Szeged,International Economy and Business,MSc,13133,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-international-economy-and-business
International Graduate Center,International MBA - Focus International Sustainable Risk Management,MBA,21699,1.5,N/A,"Bremen, Germany + 1 more campus",https://www.study.eu/university/international-graduate-center/mba-international-mba-focus-international-sustainable-risk-m
Anglo-American University,International Relations and Diplomacy,MA,24453,,N/A,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ma-international-relations-and-diplomacy
Modul University Vienna,International Tourism Management (Specializations available),MSc,32834,2,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-international-tourism-management-specializations-availab
Radboud University,Intersectional Gender Studies,MSc,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-intersectional-gender-studies
Vilnius University,Laser Physics and Optical Technologies,Master,15244,2,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-laser-physics-and-optical-technologies
Radboud University,Linguistics and Communication Sciences (Research),MA,,,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-linguistics-and-communication-sciences-research
Radboud University,Linguistics: Language Variation and Multilingualism,MA,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-linguistics-language-variation-and-multilingualism
Modul University Vienna,Management (Specializations available),MSc,32834,2,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-management-specializations-available
Radboud University,Marketing,MSc,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-marketing-12031
Modul University Vienna,Master of Business Administration with Specializations,MBA,38697,1.5,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/mba-master-of-business-administration-with-specializations
Chalmers University of Technology,Materials Chemistry,MSc,34512,,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-materials-chemistry
Radboud University,Mathematics,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-mathematics-5885
International Graduate Center,MBA in Executive Management,MBA,19817,1.5,N/A,"Bremen, Germany",https://www.study.eu/university/international-graduate-center/mba-mba-in-executive-management
Radboud University,Medical Biology,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-medical-biology
Vilnius University,Medicine,B+M,99206,6,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/b-m-medicine
Radboud University,Molecular Life Sciences,BSc,62651,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-molecular-life-sciences
