university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
Dublin City University (DCU),Education in Early Childhood Education,MEd,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-in-early-childhood-education,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Limerick,Education in Educational Leadership,Master,,2.0,548.0,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/education-in-educational-leadership,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Limerick,Education in Languages,Bachelor,,4.0,548.0,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/education-in-languages,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Dublin City University (DCU),Education in Literacy Professional Practice,MEd,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-in-literacy-professional-practice,Other,💻 Tech & IT,⚪ Unranked/Missing Data
University of Manchester,Education (International),MA,20855.0,1.0,47.0,"Manchester, United Kingdom",https://www.study.eu/university/university-of-manchester/education-international,Other,📚 General/Other,🟢 Budget-Friendly
Dublin City University (DCU),Education - Irish Sign Language Pathway ISL (Restricted Entry),Bachelor,,4.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-irish-sign-language-pathway-isl-restricted-entry,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
University of Sheffield,Education (Language and Education),MA,,1.0,110.0,"Sheffield, United Kingdom",https://www.study.eu/university/university-of-sheffield/education-language-and-education,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Galway,Education Leadership,MEd,,1.0,565.0,"Galway, Ireland",https://www.study.eu/university/university-of-galway/education-leadership,Other,📚 General/Other,⚪ Unranked/Missing Data
Oxford Brookes University,Education - Leadership and Management (MA),MA,,1.0,811.0,"Oxford, United Kingdom",https://www.study.eu/university/oxford-brookes-university/education-leadership-and-management-ma,Other,📊 Business & Management,⚪ Unranked/Missing Data
University of Derby,Education (Leadership and Management) (Online),MA,,,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-leadership-and-management-online,Other,📊 Business & Management,⚪ Unranked/Missing Data
University of Derby,Education: Leadership and Management (pathway),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-leadership-and-management-pathway,Other,📊 Business & Management,⚪ Unranked/Missing Data
University of Bristol,Education (Leadership and Policy),MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-leadership-and-policy,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education: Leadership Coaching and Mentoring (pathway),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-leadership-coaching-and-mentoring-pathway,Other,📚 General/Other,⚪ Unranked/Missing Data
