university_name,program_name,degree,tuition_fee_usd_total,program_duration,global_ranking,university_location,url
SRH Haarlem University of Applied Sciences,Digital Transformation Management,Bachelor,"62,310 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-digital-transformation-management
SRH University,Engineering and Sustainable Technology Management - Mobility and Automotive Industry,MEng,"29,816 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/meng-engineering-and-sustainable-technology-management-mobil
Central European University (CEU),Environmental Sciences and Policy,MSc,"13,846 USD in total (students from outside EU/EEA)",1 year (60 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-environmental-sciences-and-policy
Central European University (CEU),European Women's and Gender History,MA,"27,693 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-european-women-s-and-gender-history
Central European University (CEU),Finance,MSc,"17,308 USD in total (students from outside EU/EEA)",10 months (60 ECTS) full-time / part-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-finance-19481
Vytautas Magnus University,Future Media and Journalism,Master,"7,972 USD in total (students from outside EU/EEA)",1.5 years (90 ECTS) full-time,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-future-media-and-journalism
University of Szeged,Geography,MSc,"12,462 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-geography-11278
Central European University (CEU),Global Business Law and Regulation,LLM,"15,000 USD in total (students from outside EU/EEA)",1 year (60 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/llm-global-business-law-and-regulation
Central European University (CEU),Global Comparative Constitutional Studies,LLM,"15,000 USD in total (students from outside EU/EEA)",1 year (60 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/llm-global-comparative-constitutional-studies
Technische Universität Berlin,Global Production Engineering,MSc,"17,885 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Berlin, Germany",https://www.study.eu/university/technische-universitat-berlin/msc-global-production-engineering
Windesheim University of Applied Sciences,Global Project and Change Management,BBA,"43,003 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-global-project-and-change-management
SRH University,Hospitality Management & Leadership,MA,"18,087 USD in total (students from outside EU/EEA)",N/A,N/A,"Dresden, Germany",https://www.study.eu/university/srh-university/ma-hospitality-management-leadership
University of Technology Nuremberg,Human and Artificial Intelligence,Master,N/A,2 years (120 ECTS) full-time,N/A,"Nuremberg, Germany",https://www.study.eu/university/university-of-technology-nuremberg/master-human-and-artificial-intelligence
Anglo-American University,"Humanities, Society and Culture: Sociology, Psychology and Leadership",BA,"36,679 USD in total (students from outside EU/EEA)",N/A,N/A,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-humanities-society-and-culture-sociology-psychology-and-l
Modul University Vienna,Human Resources Management,BSc,"62,310 USD in total (students from outside EU/EEA)",3 years (180 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/bsc-human-resources-management
Central European University (CEU),Human Rights,MA,"13,846 USD in total (students from outside EU/EEA)",1 year (60 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-human-rights
TSI Transport and Telecommunication Institute,Intelligent Transport and Smart Logistics,MSc,N/A,N/A,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/msc-intelligent-transport-and-smart-logistics
Chalmers University of Technology,Interaction Design and Technologies,MSc,"29,704 USD in total (students from outside EU/EEA)",N/A,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-interaction-design-and-technologies
University of Szeged,International and European Trade and Investment Law,LLM,"5,538 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/llm-international-and-european-trade-and-investment-law
Windesheim University of Applied Sciences,International Business,BBA,"43,003 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-international-business-18477
SRH University,International Business Administration,BA,"35,221 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany + 5 more campuses",https://www.study.eu/university/srh-university/ba-international-business-administration-19834
SRH University,International Business and Engineering,MEng,"28,282 USD in total (students from outside EU/EEA)",N/A,N/A,"Heidelberg, Germany",https://www.study.eu/university/srh-university/meng-international-business-and-engineering
SRH University,International Business and Leadership - Healthcare Management,MA,"24,116 USD in total (students from outside EU/EEA)",N/A,N/A,"Dresden, Germany",https://www.study.eu/university/srh-university/ma-international-business-and-leadership-healthcare-manageme
Anglo-American University,International Business and Policy,MA,"24,453 USD in total (students from outside EU/EEA)",N/A,N/A,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ma-international-business-and-policy
Vilnius University,International Communication,Master,"7,972 USD in total (students from outside EU/EEA)",1.5 years (90 ECTS) full-time,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-international-communication
